Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.10988-RA	OG0000813	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco013633	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19639-RA	OG0003265	Description=uncharacterized protein LOC109722760	Aco003251	Diff_expressed_CAMC3
Tlei_v1.16202-RA	OG0017545	Description=protein LIGULELESS 1-like	Aco031754	Diff_expressed_CAMC3
Tlei_v1.20941-RA	OG0009306	Description=alpha carbonic anhydrase 1, chloroplastic-like	Aco007803	Diff_expressed_CAMC3, pos_selection_CAM_shifts, CAM-related_Acomosus_Ming2015, 00_#01_carbonic_anhydrase
Tlei_v1.01750-RA	OG0006080	Description=calvin cycle protein CP12-3, chloroplastic	Aco000727	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19480-RA	OG0005263	Description=putative root cap protein 1	Aco016712	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.19533-RA	OG0005266	Description=NDR1/HIN1-like protein 12	Aco016764	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.19534-RA	OG0005266	Description=protein YLS9-like	Aco016764	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17232-RA	OG0004020	Description=V-type proton ATPase subunit F-like	Aco010280	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-F_03_VATPase
Tlei_v1.02100-RA	OG0006555	Description=non-specific phospholipase C2	Aco002324	Diff_expressed_CAMC3
Tlei_v1.08516-RA	OG0008469	Description=ninja-family protein AFP3-like	Aco004854	Diff_expressed_CAMC3
Tlei_v1.08515-RA	OG0008468	Description=glycerophosphodiester phosphodiesterase GDPD6	Aco004855	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08527-RA	OG0008464	Description=cytochrome P450 85A1	Aco004844	Diff_expressed_CAMC3
Tlei_v1.28428-RA	OG0001022	Description=villin-5-like isoform X2	Aco020510	Diff_expressed_CAMC3
Tlei_v1.31497-RA	OG0001022	Description=villin-5-like isoform X2	Aco020510	Diff_expressed_CAMC3
Tlei_v1.03868-RA	OG0001027	Description=cytochrome P450 90B1-like	Aco010367	Diff_expressed_CAMC3
Tlei_v1.03867-RA	OG0001027	Description=Cytochrome P450 90B1	Aco010367	Diff_expressed_CAMC3
Tlei_v1.18679-RA	OG0015140	Description=Indole-3-glycerol phosphate synthase, chloroplastic	Aco018974	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12757-RA	OG0011010	Description=chlorophyll a-b binding protein 13, chloroplastic	Aco009134	malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.12767-RA	OG0011011	Description=internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial-like	Aco009143	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31471-RA	OG0009535	Description=V-type proton ATPase catalytic subunit A	Aco008300	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-A
Tlei_v1.11139-RA	OG0010727	Description=ternary complex factor MIP1, putative, expressed	Aco008578	Diff_expressed_CAMC3
Tlei_v1.31257-RA	OG0009532	Description=aldo-keto reductase family 4 member C9-like	Aco008298	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30203-RA	OG0006765	Description=cat eye syndrome critical region protein 5 precursor	Aco001521	pos_selection_CAM_shifts
Tlei_v1.20043-RA	OG0016786	Description=Omega-hydroxypalmitate O-feruloyl transferase	Aco003638	Diff_expressed_CAMC3
Tlei_v1.09260-RA	OG0013383	Description=protein HIGH CHLOROPHYLL FLUORESCENCE PHENOTYPE 244, chloroplastic	Aco018356	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16885-RA	OG0014566	Description=Aquaporin NIP2-1	Aco014693	aquaporin_reg, 02_Aquaporins
Tlei_v1.01783-RA	OG0014714	Description=charged multivesicular body protein 7	Aco022095	Diff_expressed_CAMC3
Tlei_v1.20044-RA	OG0007548	Description=5'-deoxyadenosine deaminase	Aco003639	Diff_expressed_CAMC3
Tlei_v1.08439-RA	OG0001239	Description=probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic isoform X1	Aco004930	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25773-RA	OG0001239	Description=probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic isoform X1	Aco004930	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.14362-RA	OG0015576	Description=protein NUCLEAR FUSION DEFECTIVE 4	Aco017042	Diff_expressed_CAMC3
Tlei_v1.28476-RA	OG0010121	Description=protein PLASTID TRANSCRIPTIONALLY ACTIVE 14 isoform X1	Aco006583	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21475-RA	OG0015039	Description=V-type proton ATPase subunit B 2	Aco015226	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-B_03_VATPase
Tlei_v1.16888-RA	OG0014560	Description=Malate dehydrogenase, chloroplastic	Aco014690	CAM-related_Acomosus_Ming2015, 00_#22_Malate_dehydrogenase
Tlei_v1.02834-RA	OG0002339	Description=sugar transporter ERD6-like 16	Aco018780	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09929-RA	OG0004334	Description=probable 2-oxoglutarate-dependent dioxygenase At3g111800	Aco012471	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.17387-RA	OG0012227	Description=probable galacturonosyltransferase 3 isoform X1	Aco013034	Diff_expressed_CAMC3
Tlei_v1.19519-RA	OG0005203	Description=B3 domain-containing protein Os11g0156000-like	Aco016748	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.31951-RA	OG0000669	Description=auxin response factor 18-like isoform X1	Aco020108	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.07168-RA	OG0000669	Description=auxin response factor 18-like isoform X1	Aco020108	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.18298-RA	OG0000669	Description=auxin response factor 11-like	Aco020108	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.18297-RA	OG0000669	Description=auxin response factor 11-like	Aco020108	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.13835-RA	OG0015195	Description=alpha-aminoadipic semialdehyde synthase isoform X1	Aco019394	Diff_expressed_CAMC3
Tlei_v1.16480-RA	OG0015191	Description=Isoamylase 1, chloroplastic	Aco024092	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.18256-RA	OG0001649	Description=type I inositol polyphosphate 5-phosphatase 2 isoform X1	Aco013210	pos_selection_CAM_shifts
Tlei_v1.12358-RA	OG0001644	Description=monosaccharide-sensing protein 2-like	Aco015779	circadian_metabolism_Wai2017, 00_#W_HexoseTransporter_MSSP-like_transporter
Tlei_v1.27347-RA	OG0001644	Description=monosaccharide-sensing protein 2-like	Aco015779	circadian_metabolism_Wai2017, 00_#W_HexoseTransporter_MSSP-like_transporter
Tlei_v1.06049-RA	OG0013103	Description=harpin-induced protein	Aco024760	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.05227-RA	OG0001251	Description=GDP-mannose 3,5-epimerase 1	Aco000210	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19261-RA	OG0001251	Description=GDP-mannose 3,5-epimerase 1	Aco000210	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.24521-RA	OG0014121	Description=gibberellin 2-beta-dioxygenase 3	Aco018084	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.25244-RA	OG0004763	Description=Phospholipase D alpha 1	Aco016554	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Phospholipase_Da1
Tlei_v1.31927-RA	OG0002231	Description=late embryogenesis abundant protein 46-like	Aco006847	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.24345-RA	OG0008211	Description=Carbonic anhydrase, chloroplastic	Aco005402	malateTransferase_Assimilation_Carbohydrates, 00_##06_carbonic_anhydrase
Tlei_v1.08246-RA	OG0003530	Description=protein TIFY 5A	Aco005108	circadian_metabolism_Wai2017, circadian_clock, 09_Circadian_clock
Tlei_v1.24658-RA	OG0002900	Description=NEDD8-conjugating enzyme Ubc12	Aco020426	Diff_expressed_CAMC3
Tlei_v1.27234-RA	OG0004578	Description=Late embryogenesis abundant protein	Aco012009	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.30635-RA	OG0000484	Description=trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1	Aco027353	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25497-RA	OG0000484	Description=Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1	Aco027353	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21559-RA	OG0000484	Description=trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1	Aco027353	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21956-RA	OG0008105	Description=protein TIFY 9 isoform X2	Aco004646	circadian_clock, 09_Circadian_clock
Tlei_v1.19335-RA	OG0005813	Description=sucrose transport protein SUT2	Aco000269	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.07096-RA	OG0016924	Description=ABC transporter E family member 2	Aco010811	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13287-RA	OG0003206	Description=Glucose-6-phosphate isomerase 1, chloroplastic	Aco002744	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13295-RA	OG0003207	Description=beta carbonic anhydrase 5, chloroplastic	Aco002732	CAM-related_Acomosus_Ming2015, 00_#04_carbonic_anhydrase
Tlei_v1.16733-RA	OG0015222	Description=monogalactosyldiacylglycerol synthase, chloroplastic	Aco019702	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05589-RA	OG0003336	Description=flavonoid 3'-hydroxylase	Aco003885	Diff_expressed_CAMC3, anthocyanin_SI_Ananas, 00_#Ming2019_Anthocyanin_biosynthesis
Tlei_v1.01464-RA	OG0001279	Description=Pyruvate dehydrogenase E1 component subunit alpha-1, mitochondrial	Aco002942	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13079-RA	OG0001279	Description=Pyruvate dehydrogenase E1 component subunit alpha-1, mitochondrial	Aco002942	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26462-RA	OG0010163	Description=oxygen-evolving enhancer protein 1, chloroplastic	Aco006719	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.03279-RA	OG0004215	Description=nuclear pore complex protein NUP50A	Aco015014	Diff_expressed_CAMC3
Tlei_v1.09347-RA	OG0009921	Description=NDR1/HIN1-like protein 13	Aco010638	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.23734-RA	OG0011529	Description=4-alpha-glucanotransferase DPE1, chloroplastic/amyloplastic	Aco009588	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.30640-RA	OG0001877	Description=Mitochondrial dicarboxylate/tricarboxylate transporter DTC	Aco023600	Diff_expressed_CAMC3
Tlei_v1.07182-RA	OG0015347	Description=CASP-like protein 1C1	Aco020099	Diff_expressed_CAMC3
Tlei_v1.09420-RA	OG0009886	Description=protein tas	Aco010572	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30427-RA	OG0002963	Description=digalactosyldiacylglycerol synthase 2, chloroplastic-like	Aco016848	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.31070-RA	OG0002960	Description=V-type proton ATPase subunit E-like	Aco000577	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.20592-RA	OG0014331	Description=protein FLX-like 4	Aco027484	pos_selection_CAM_shifts
Tlei_v1.21821-RA	OG0016829	Description=Protein YLS9	Aco004532	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.20928-RA	OG0009656	Description=B3 domain-containing protein Os11g0156000-like	Aco009779	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.30113-RA	OG0006809	Description=sex determination protein tasselseed-2	Aco001608	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19663-RA	OG0007339	Description=Short-chain dehydrogenase TIC 32, chloroplastic	Aco003271	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26435-RA	OG0010148	Description=U3 small nucleolar ribonucleoprotein protein MPP10	Aco006693	pos_selection_CAM_shifts
Tlei_v1.01912-RA	OG0006652	Description=plastidial pyruvate kinase 4, chloroplastic	Aco002508	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01892-RA	OG0006655	Description=uncharacterized PE-PGRS family protein PE_PGRS54-like	Aco002530	Diff_expressed_CAMC3
Tlei_v1.22741-RA	OG0012159	Description=Uridine-cytidine kinase C	Aco012743	pos_selection_CAM_shifts
Tlei_v1.18676-RA	OG0000127	Description=sugar carrier protein C-like	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18667-RA	OG0000127	Description=Sugar carrier protein C	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18670-RA	OG0000127	Description=Sugar carrier protein C	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28614-RA	OG0000127	Description=sugar carrier protein C-like	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09612-RA	OG0000127	Description=sugar carrier protein C-like	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02566-RA	OG0000127	Description=sugar carrier protein C-like	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12755-RA	OG0000127	Description=sugar carrier protein C-like	Aco014415	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.10209-RA	OG0016000	Description=flavonoid 3',5'-hydroxylase 1-like	Aco019275	Diff_expressed_CAMC3, anthocyanin_SI_Ananas, 00_#Ming2019_Anthocyanin_biosynthesis
Tlei_v1.24006-RA	OG0008394	Description=V-type proton ATPase subunit d2	Aco005715	Diff_expressed_CAMC3, malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.23574-RA	OG0011934	Description=diacylglycerol kinase 1	Aco012400	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30548-RA	OG0002944	Description=Late embryogenesis abundant protein 18	Aco014120	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.01349-RA	OG0006289	Description=Aquaporin NIP2-1	Aco001106	aquaporin_reg, 02_Aquaporins
Tlei_v1.17048-RA	OG0004397	Description=cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG3	Aco010086	Diff_expressed_CAMC3
Tlei_v1.27824-RA	OG0014888	Description=protein CELLULOSE SYNTHASE INTERACTIVE 1-like	Aco024020	pos_selection_CAM_shifts
Tlei_v1.15720-RA	OG0010419	Description=DNA-directed RNA polymerase I subunit 2	Aco007652	Diff_expressed_CAMC3
Tlei_v1.30075-RA	OG0006829	Description=predicted protein	Aco001647	Diff_expressed_CAMC3
Tlei_v1.25733-RA	OG0012766	Description=auxin response factor 15-like	Aco021382	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.03705-RA	OG0004890	Description=glyoxylate/hydroxypyruvate reductase HPR3	Aco014058	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05321-RA	OG0003372	Description=sucrose transport protein SUT1-like	Aco004135	circadian_metabolism_Wai2017, 00_#W_SucroseTransporters_SUT1_10_Glucogenesis_specific_dayC3
Tlei_v1.14446-RA	OG0001623	Description=Abscisic acid receptor PYR1	Aco018853	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.08508-RA	OG0000976	Description=UDP-glucose 6-dehydrogenase 4	Aco004861	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23573-RA	OG0000976	Description=UDP-glucose 6-dehydrogenase 4	Aco004861	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18384-RA	OG0003950	Description=nitrate regulatory gene2 protein	Aco007440	Diff_expressed_CAMC3
Tlei_v1.20134-RA	OG0002028	Description=Protease HtpX	Aco003689	Diff_expressed_CAMC3
Tlei_v1.16080-RA	OG0012958	Description=aldehyde dehydrogenase family 3 member H1-like	Aco013594	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.01944-RA	OG0006630	Description=Bidirectional sugar transporter SWEET16	Aco002476	circadian_metabolism_Wai2017, 00_#W_FructoseTransporter_SWEET17
Tlei_v1.06463-RA	OG0011212	Description=Two-component response regulator ORR21	Aco013421	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ResponseRegulator2
Tlei_v1.12373-RA	OG0013844	Description=sphingoid long-chain bases kinase 2, mitochondrial	Aco015760	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22762-RA	OG0012170	Description=probable pinoresinol-lariciresinol reductase 3 isoform X1	Aco012772	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30414-RA	OG0006025	Description=Saccharopine dehydrogenase NADP binding domain-containing protein	Aco000618	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28613-RA	OG0005391	Description=Diacylglycerol kinase 5	Aco014899	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.17263-RA	OG0001553	Description=Pyruvate kinase, cytosolic isozyme	Aco010310	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28874-RA	OG0001553	Description=Pyruvate kinase, cytosolic isozyme	Aco010310	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12711-RA	OG0004118	Description=Glycerol-3-phosphate acyltransferase 3	Aco009080	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12703-RA	OG0004115	Description=TBC1 domain family member 15-like	Aco020543	gene_families_CAMC3
Tlei_v1.19717-RA	OG0003270	Description=GDP-L-galactose phosphorylase 1	Aco003317	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.14633-RA	OG0012361	Description=probable prolyl 4-hydroxylase 3	Aco011789	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.12935-RA	OG0007252	Description=ATP-dependent 6-phosphofructokinase 2	Aco003097	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.30420-RA	OG0000914	Description=putative sugar phosphate/phosphate translocator	Aco021905	Diff_expressed_CAMC3
Tlei_v1.07393-RA	OG0000914	Description=probable sugar phosphate/phosphate translocator At3g17430	Aco021905	Diff_expressed_CAMC3
Tlei_v1.10381-RA	OG0000914	Description=putative sugar phosphate/phosphate translocator	Aco021905	Diff_expressed_CAMC3
Tlei_v1.28601-RA	OG0015750	Description=anthocyanidin reductase	Aco014888	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26496-RA	OG0010189	Description=Thioredoxin-like protein CITRX, chloroplastic	Aco006754	gene_families_CAMC3
Tlei_v1.08419-RA	OG0008530	Description=BTB/POZ domain-containing protein At5g66560-like	Aco004947	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_RootPhototropism2
Tlei_v1.08331-RA	OG0008580	Description=phytoene synthase 2, chloroplastic-like	Aco005022	Diff_expressed_CAMC3
Tlei_v1.13537-RA	OG0001343	Description=Phospholipid:diacylglycerol acyltransferase 1	Aco014791	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16783-RA	OG0001343	Description=Phospholipid:diacylglycerol acyltransferase 1	Aco014791	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12224-RA	OG0002604	Description=ceramide kinase isoform X1	Aco017945	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28223-RA	OG0009978	Description=zinc finger CCCH domain-containing protein 4	Aco006345	pos_selection_CAM_shifts
Tlei_v1.29068-RA	OG0010606	Description=chaperone protein dnaJ 11, chloroplastic	Aco009371	Diff_expressed_CAMC3
Tlei_v1.29065-RA	OG0010608	Description=Bifunctional protein FolD 4, chloroplastic	Aco009366	pos_selection_CAM_shifts
Tlei_v1.12996-RA	OG0003238	Description=Aldehyde dehydrogenase family 2 member B7, mitochondrial	Aco003031	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.03733-RA	OG0013648	Description=pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic	Aco014023	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28689-RA	OG0002182	Description=glycerol-3-phosphate acyltransferase 3	Aco008441	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28691-RA	OG0002182	Description=probable sugar phosphate/phosphate translocator At3g14410	Aco008441	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.24078-RA	OG0008351	Description=ATP-dependent 6-phosphofructokinase 3-like	Aco005646	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.04702-RB	OG0014871	Description=poly(ADP-ribose) glycohydrolase 1	Aco018002	pos_selection_CAM_shifts
Tlei_v1.12501-RA	OG0001572	Description=1-aminocyclopropane-1-carboxylate oxidase homolog 1-like	Aco008884	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.12502-RA	OG0001572	Description=1-aminocyclopropane-1-carboxylate oxidase homolog 1-like	Aco008884	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.03798-RA	OG0000294	Description=putative disease resistance protein RGA3	Aco013965	Diff_expressed_CAMC3
Tlei_v1.23380-RA	OG0000294	Description=putative disease resistance protein RGA3	Aco013965	Diff_expressed_CAMC3
Tlei_v1.28353-RA	OG0010047	Description=Cinnamoyl-CoA reductase 1	Aco006467	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25660-RA	OG0016910	Description=carbonic anhydrase, chloroplastic	Aco006181	CAM-related_Acomosus_Ming2015, 00_##05_carbonic_anhydrase
Tlei_v1.25342-RA	OG0003563	Description=NDR1/HIN1-like protein 13	Aco005868	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.18290-RA	OG0002473	Description=ATOZI1, putative	Aco013178	Diff_expressed_CAMC3
Tlei_v1.30453-RB	OG0005985	Description=glycerol-3-phosphate dehydrogenase [NAD(+)], chloroplastic isoform X1	Aco000575	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03339-RA	OG0011722	Description=Late embryogenesis abundant protein	Aco011172	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.16965-RA	OG0015826	Description=indole-3-glycerol phosphate synthase, chloroplastic	Aco015298	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.17008-RA	OG0015843	Description=polygalacturonase inhibitor 1-like	Aco015340	Diff_expressed_CAMC3
Tlei_v1.29500-RA	OG0014406	Description=Pre-mRNA-splicing factor syf2	Aco016019	pos_selection_CAM_shifts
Tlei_v1.18103-RA	OG0011256	Description=auxin response factor 11	Aco025401	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.30271-RA	OG0001324	Description=Protein kinase APK1A, chloroplastic	Aco016809	Diff_expressed_CAMC3
Tlei_v1.03593-RA	OG0001324	Description=Protein kinase APK1A, chloroplastic	Aco016809	Diff_expressed_CAMC3
Tlei_v1.30246-RA	OG0001326	Description=Histone H2B.6	Aco001473	Diff_expressed_CAMC3
Tlei_v1.08186-RA	OG0008659	Description=chlorophyll(ide) b reductase NOL, chloroplastic isoform X1	Aco005164	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13393-RA	OG0007038	Description=WAT1-related protein At1g21890-like	Aco002667	Diff_expressed_CAMC3
Tlei_v1.09198-RA	OG0005044	Description=protein XAP5 CIRCADIAN TIMEKEEPER	Aco019534	circadian_metabolism_Wai2017, 09_Circadian_clock
Tlei_v1.20989-RA	OG0015646	Description=Programmed cell death protein 4	Aco020124	Diff_expressed_CAMC3
Tlei_v1.03415-RA	OG0004319	Description=Kelch-like protein 8	Aco011105	Diff_expressed_CAMC3
Tlei_v1.01758-RA	OG0006079	Description=hypothetical protein ACMD2_08763	Aco000722	Diff_expressed_CAMC3
Tlei_v1.27361-RA	OG0012574	Description=Protein REVEILLE 1	Aco011903	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_Reveille1
Tlei_v1.30328-RA	OG0006075	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco000707	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05291-RA	OG0007824	Description=ribulose-phosphate 3-epimerase, chloroplastic	Aco004162	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05298-RA	OG0007820	Description=pentatricopeptide repeat-containing protein At5g15280, mitochondrial isoform X1	Aco004155	pos_selection_CAM_shifts
Tlei_v1.14202-RA	OG0004151	Description=probable galactinol--sucrose galactosyltransferase 6	Aco011516	Diff_expressed_CAMC3
Tlei_v1.06629-RA	OG0004150	Description=V-type proton ATPase subunit c''2	Aco014317	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.14212-RA	OG0004152	Description=Protein TSS	Aco011527	pos_selection_CAM_shifts
Tlei_v1.29320-RA	OG0015361	Description=Hexose carrier protein HEX6	Aco018637	Diff_expressed_CAMC3, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01459-RA	OG0006221	Description=Protein EDS1L	Aco001001	pos_selection_CAM_shifts
Tlei_v1.01457-RA	OG0006227	Description=pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	Aco001003	pos_selection_CAM_shifts, glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.27279-RA	OG0004575	Description=Root cap	Aco011978	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.25443-RA	OG0008818	Description=ATP-dependent 6-phosphofructokinase 3	Aco005968	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.03602-RA	OG0015283	Description=NAD(P)-binding Rossmann-fold superfamily protein isoform 1	Aco016819	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22311-RA	OG0002646	Description=NDR1/HIN1-like protein 1	Aco022074	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17468-RA	OG0012250	Description=protein MCM10 homolog	Aco013100	Diff_expressed_CAMC3
